"FM","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","IS_CREDITABLE"
"FM","03","0","0331616487385","9","2016","27/09/2016","020258737091000","PT TRAKINDO UTAMA","GD. TMT 1 LT.11-17, SUITE 1101-1701, JL CILANDAK KKO NO.01, CILANDAK TIMUR , JAKARTA SELATAN","12715490","1271549","0","1"
"FM","03","0","0321680469652","9","2016","05/08/2016","027881747907000","CV MAGNUM SOLUSION (111)","JL.GAMBIR 14B, ABIANBASE , GIANYAR","65800000","6580000","0","1"
"FM","01","1","0321602255119","9","2016","25/08/2016","031167273915000","CV GRHA PRATAMA INTI","BTN BERMIS GANG DURIAN NO 4 RT.002 RW.001, LENENG , LOMBOK TENGAH","9090909","909090","0","1"
"FM","01","1","0321680469655","9","2016","05/09/2016","027881747907000","CV MAGNUM SOLUSION (111)","JL.GAMBIR 14B, ABIANBASE , GIANYAR","6000000","600000","0","1"
"FM","01","0","0331651221832","9","2016","28/09/2016","311896856903000","PT PRISMA ELEKTRIKA BALI","JL. PUNGUTAN 66 RT.0 RW.0, SANUR , DENPASAR","5500000","550000","0","1"
"FM","01","0","0331651221829","9","2016","28/09/2016","311896856903000","PT PRISMA ELEKTRIKA BALI","JL. PUNGUTAN 66 RT.0 RW.0, SANUR , DENPASAR","940000","94000","0","1"
"FM","01","0","0331651221833","9","2016","28/09/2016","311896856903000","PT PRISMA ELEKTRIKA BALI","JL. PUNGUTAN 66 RT.0 RW.0, SANUR , DENPASAR","555000","55500","0","1"
"FM","01","0","0331651221830","9","2016","28/09/2016","311896856903000","PT PRISMA ELEKTRIKA BALI","JL. PUNGUTAN 66 RT.0 RW.0, SANUR , DENPASAR","5895500","589550","0","1"
"FM","01","0","0331651221831","9","2016","28/09/2016","311896856903000","PT PRISMA ELEKTRIKA BALI","JL. PUNGUTAN 66 RT.0 RW.0, SANUR , DENPASAR","8077500","807750","0","1"
"FM","01","0","0331634586707","9","2016","28/09/2016","016960411903000","PT AUTO BAGUS UTAMA","JL.BY PASS NGURAH RAI NO.500, SANUR KAUH , DENPASAR","2400000","240000","0","1"
"FM","01","0","0331699861645","9","2016","26/09/2016","315694240905000","PT MARKETBIZ JENDELA DIGITAL","JL. SUNSET ROAD NO.8 E ABIANBASE RT. 00 RW. 00 , BADUNG","825000","82500","0","1"
"FM","03","0","0321680263461","9","2016","07/09/2016","013281720009000","CV POLA RAYA STUDIO","JL DALANG NO 4 RT 005 RW 005, MUNJUL , JAKARTA TIMUR","46500000","4650000","0","1"
"FM","01","0","0331696713201","9","2016","20/09/2016","012200051914000","PT SUARANUSA MEDIA PRATAMA","JL.TGH FAESAL NO.33 (GRAHA PENA LOMBOK POST) SWETA, CAKRANEGARA , KODYA MATARAM","6000000","600000","0","1"
"FM","03","0","0011624783563","9","2016","02/09/2016","660726324901000","CV GLOBAL TECH BALI","JL. NUANSA KORI BARAT BLOK VI  NO 5, UBUNG KAJA , DENPASAR","45510000","4551000","0","1"
"FM","03","1","0311688799395","9","2016","28/09/2016","032968166014000","PT TRANS E PRODUKSI","MENARA BANK MEGA LT.24, JL. KAPTEN TENDEAN KAV.12-14 RT 002 RW 002 , JAKARTA SELATAN","1320105000","132010500","0","1"
"FM","01","0","0331671593599","9","2016","28/09/2016","027542513901000","CV JAKA JAYA TEKNIK","JL. TANTRI NO.3 , DENPASAR","6589000","658900","0","1"
"FM","03","1","0331692042971","9","2016","28/09/2016","017994922903000","PT LILA BUANA WISATA","BR. WIRASTYA, SIDAKARYA , DENPASAR","206500000","20650000","0","1"
"FM","01","0","0331610827933","9","2016","03/09/2016","211433768906000","CV AKAMEDIA","JL. MUDING INDAH VII NO.1 RT.000 RW.000, KEROBOKAN , BADUNG","700000","70000","0","1"
"FM","01","0","0331610827938","9","2016","07/09/2016","211433768906000","CV AKAMEDIA","JL. MUDING INDAH VII NO.1 RT.000 RW.000, KEROBOKAN , BADUNG","350000","35000","0","1"
"FM","01","0","0301687742428","9","2016","15/08/2016","024262719903000","CV NUSA JAYA PERKASA","JL. SOKA GG VI RT 0 RW 0 , DENPASAR","6454545","645454","0","1"
"FM","01","0","0331649138751","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","198000","19800","0","1"
"FM","03","0","0331649138752","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","454220000","45422000","0","1"
"FM","01","0","0331649138753","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1485000","148500","0","1"
"FM","03","0","0331649138754","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1100000","110000","0","1"
"FM","01","0","0331649138755","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","3000000","300000","0","1"
"FM","01","0","0331649138756","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","3727273","372727","0","1"
"FM","01","0","0331649138757","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","600000","60000","0","1"
"FM","01","0","0331649138758","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","3190000","319000","0","1"
"FM","01","0","0331649138759","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","6894440","689444","0","1"
"FM","01","0","0331649138760","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","6500000","650000","0","1"
"FM","01","0","0331649138761","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","3385675","338567","0","1"
"FM","01","0","0331649138762","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1330946","133094","0","1"
"FM","01","0","0331649138763","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","4500000","450000","0","1"
"FM","01","0","0331649138764","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","5444545","544454","0","1"
"FM","01","0","0331649138765","9","2016","16/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","565000","56500","0","1"
"FM","03","0","0331649138766","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","101363636","10136363","0","1"
"FM","01","0","0331649138767","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","4104989","410498","0","1"
"FM","01","0","0331649138768","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","4104989","410498","0","1"
